const,demand_UK,demand_DE,demand_NO,demand_DK,demand_NL,demand_BE,wind_UK,wind_DE,wind_NO,wind_DK,wind_NL,wind_BE,inflow_hydro,solar_UK,solar_DE,solar_NO,solar_DK,solar_NL,solar_BE,fuel_bio,fuel_gas,fuel_hard_coal,fuel_hydro,fuel_lignite,fuel_nuclear,fuel_oil,fuel_solar,fuel_onshore_wind,fuel_wind,fuel_other_non_res,fuel_other_res
1,0.936409,0.89757,0.594336,0.465392,0.703699,0.787804,0.2167,0.0084,0.1884,0.1662,0.2086,0.2023,0.9491,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.917057,0.559919,0.586722,0.494744,0.908055,0.629269,0.4207,0.0483,0.0822,0.1975,0.1626,0.1268,0.916,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.95015,0.695573,0.579005,0.483701,0.885107,0.826436,0.0039,0.1753,0.1684,0.4712,0.9163,0.0842,0.6002,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.904858,0.709743,0.604059,0.439585,0.68834,0.655998,0.2106,0.2272,0.1493,0.2479,0.7332,0.3072,0.9124,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.565521,0.796332,0.503884,0.382276,0.735434,0.696795,0.255,0.4083,0.2579,0.1223,0.2585,0.3602,0.9268,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.884003,0.578907,0.57092,0.52119,0.855586,0.844075,0.1405,0.7122,0.1411,0.0698,0.292,0.4757,0.6638,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.638031,0.905656,0.495983,0.411861,0.928098,0.878434,0.1875,0.1808,0.1336,0.0529,0.137,0.3556,0.577,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.874794,0.786465,0.557083,0.454116,0.717279,0.721089,0.1829,0.1548,0.0992,0.0867,0.0146,0.1175,0.5928,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.893594,0.68207,0.51199,0.502591,0.760924,0.86258,0.1421,0.2408,0.0878,0.2603,0.2009,0.12,0.8545,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.804445,0.720132,0.614826,0.396342,0.915971,0.601566,0.0861,0.0043,0.0121,0.0094,0.2676,0.1019,0.9215,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.726284,0.916925,0.545375,0.472657,0.832783,0.741109,0.0098,0.2158,0.1004,0.0137,0.3149,0.2435,0.8248,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.819648,0.665452,0.628417,0.511542,0.940117,0.689274,0.0867,0.1227,0.0123,0.0103,0.4491,0.1789,0.9844,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.619877,0.805881,0.521856,0.432204,0.899413,0.674178,0.1951,0.0012,0.025,0.5157,0.1145,0.4406,0.665,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
