index,wind_BE,wind_DE,wind_DK,wind_NL,wind_NO,wind_UK
335,0.259,0.0272,0.0029,0.1758,0.0953,0.9395
336,0.2601,0.0425,0.0063,0.1826,0.1349,0.9472
337,0.2498,0.054,0.008,0.1809,0.1832,0.95
338,0.273,0.0564,0.0077,0.1918,0.2387,0.9511
339,0.2979,0.0527,0.0062,0.2031,0.3016,0.9519
340,0.3396,0.0462,0.0037,0.2276,0.3851,0.9547
341,0.389,0.0445,0.0013,0.2602,0.4666,0.9566
342,0.4133,0.0515,0.0049,0.2844,0.5431,0.9521
343,0.4409,0.0653,0.0126,0.3094,0.6275,0.9379
344,0.4829,0.0809,0.0241,0.3393,0.7034,0.9238
345,0.4828,0.0891,0.0345,0.3435,0.7488,0.9
346,0.4704,0.0932,0.0431,0.3424,0.7636,0.8652
347,0.438,0.0989,0.0529,0.3251,0.7836,0.8154
348,0.3913,0.0994,0.0643,0.2965,0.8042,0.7814
349,0.3616,0.0951,0.0774,0.2768,0.8285,0.7497
350,0.3391,0.0949,0.0969,0.2647,0.8575,0.7221
351,0.3367,0.1031,0.1273,0.2655,0.9003,0.7221
352,0.3458,0.1231,0.1596,0.2801,0.9219,0.6936
353,0.3608,0.1569,0.1882,0.3077,0.9477,0.6288
354,0.3698,0.2072,0.2187,0.3342,0.9654,0.5646
355,0.3732,0.2614,0.2487,0.3558,0.9744,0.4581
356,0.3866,0.3,0.2795,0.3734,0.9794,0.3786
357,0.3967,0.3337,0.3104,0.3853,0.9807,0.2956
358,0.4066,0.3574,0.3445,0.3939,0.9821,0.2583
359,0.4048,0.3726,0.3722,0.3968,0.9841,0.1998
360,0.4083,0.3874,0.4067,0.3998,0.9853,0.173
361,0.3627,0.3982,0.4418,0.3803,0.9853,0.1784
362,0.3632,0.3983,0.4654,0.3735,0.9851,0.1829
363,0.3899,0.3898,0.4821,0.3784,0.9854,0.1979
364,0.4278,0.3835,0.4869,0.3988,0.9857,0.2364
365,0.4512,0.3989,0.4944,0.4204,0.9853,0.2908
366,0.4581,0.4298,0.5259,0.4349,0.9847,0.3561
367,0.4504,0.4701,0.5808,0.4456,0.9849,0.447
368,0.4173,0.5055,0.6425,0.4379,0.9845,0.6263
369,0.3754,0.5291,0.6762,0.4225,0.9843,0.7497
370,0.3265,0.5327,0.6976,0.3957,0.9825,0.8395
371,0.2837,0.5092,0.7137,0.3608,0.9812,0.8829
372,0.2768,0.4794,0.7241,0.3423,0.9811,0.8927
373,0.2835,0.4545,0.7308,0.3337,0.9835,0.8729
374,0.2931,0.4473,0.733,0.3371,0.9855,0.8154
375,0.3128,0.4624,0.738,0.3556,0.9866,0.7367
376,0.3419,0.482,0.7442,0.3766,0.9869,0.6148
377,0.3362,0.4742,0.7512,0.3694,0.9867,0.4567
378,0.3686,0.4335,0.7474,0.3651,0.9858,0.3839
379,0.4121,0.3808,0.7269,0.3643,0.9862,0.3534
380,0.4185,0.3298,0.6939,0.3543,0.9868,0.3127
381,0.4046,0.2908,0.6478,0.3428,0.9874,0.3482
382,0.4295,0.2666,0.6028,0.3468,0.9877,0.4595
383,0.4381,0.2533,0.5651,0.3475,0.9885,0.5578
384,0.4746,0.2526,0.5336,0.3706,0.9886,0.6524
385,0.5193,0.2719,0.5171,0.4042,0.9886,0.7613
