Node;Scenario;Year;Parameter;Fuel;Value
BE00;National Trends;2040;Capacity (MW);Wind Offshore;5800.0
BE00;National Trends;2040;Capacity (MW);Wind Onshore;6893.0
BE00;Distributed Energy;2030;Capacity (MW);Solar;3332.0
BE00;Distributed Energy;2030;Capacity (MW);Wind Onshore;1513.0
BE00;Distributed Energy;2040;Capacity (MW);Solar;8884.0
BE00;Distributed Energy;2040;Capacity (MW);Wind Onshore;4034.0
BE00;Global Ambition;2030;Capacity (MW);Solar;4143.0
BE00;Global Ambition;2030;Capacity (MW);Wind Onshore;1175.0
BE00;Global Ambition;2040;Capacity (MW);Solar;4143.0
BE00;Global Ambition;2040;Capacity (MW);Wind Onshore;3021.0
BE00;Distributed Energy;2030;Capacity (MW);Solar;8532.0
BE00;Distributed Energy;2040;Capacity (MW);Solar;15321.0
BE00;Global Ambition;2030;Capacity (MW);Solar;7783.0
BE00;Global Ambition;2040;Capacity (MW);Solar;14027.0
DE00;Distributed Energy;2030;Capacity (MW);Coal & Lignite;9031.0
DE00;Distributed Energy;2030;Capacity (MW);Gas;35057.0
DE00;Distributed Energy;2030;Capacity (MW);Hydro;15055.0
DE00;Distributed Energy;2030;Capacity (MW);Oil;851.0
DE00;Distributed Energy;2030;Capacity (MW);Other Non RES;8699.0
DE00;Distributed Energy;2030;Capacity (MW);Other RES;7570.0
DE00;Distributed Energy;2030;Capacity (MW);Solar;40394.0
DE00;Distributed Energy;2030;Capacity (MW);Wind Offshore;30392.0
DE00;Distributed Energy;2030;Capacity (MW);Wind Onshore;60298.0
DE00;Distributed Energy;2040;Capacity (MW);Gas;65218.0
DE00;Distributed Energy;2040;Capacity (MW);Hydro;15325.0
DE00;Distributed Energy;2040;Capacity (MW);Oil;637.0
DE00;Distributed Energy;2040;Capacity (MW);Other Non RES;8565.0
DE00;Distributed Energy;2040;Capacity (MW);Other RES;8657.0
DE00;Distributed Energy;2040;Capacity (MW);Solar;82850.0
DE00;Distributed Energy;2040;Capacity (MW);Wind Offshore;50202.0
DE00;Distributed Energy;2040;Capacity (MW);Wind Onshore;62160.0
DE00;Global Ambition;2030;Capacity (MW);Coal & Lignite;9031.0
DE00;Global Ambition;2030;Capacity (MW);Gas;26318.0
DE00;Global Ambition;2030;Capacity (MW);Hydro;15055.0
DE00;Global Ambition;2030;Capacity (MW);Oil;851.0
DE00;Global Ambition;2030;Capacity (MW);Other Non RES;8699.0
DE00;Global Ambition;2030;Capacity (MW);Other RES;7570.0
DE00;Global Ambition;2030;Capacity (MW);Solar;28276.0
DE00;Global Ambition;2030;Capacity (MW);Wind Offshore;36532.0
DE00;Global Ambition;2030;Capacity (MW);Wind Onshore;60298.0
DE00;Global Ambition;2040;Capacity (MW);Gas;28757.0
DE00;Global Ambition;2040;Capacity (MW);Hydro;15325.0
DE00;Global Ambition;2040;Capacity (MW);Oil;637.0
DE00;Global Ambition;2040;Capacity (MW);Other Non RES;8565.0
DE00;Global Ambition;2040;Capacity (MW);Other RES;8657.0
DE00;Global Ambition;2040;Capacity (MW);Solar;66995.0
DE00;Global Ambition;2040;Capacity (MW);Wind Offshore;59943.0
DE00;Global Ambition;2040;Capacity (MW);Wind Onshore;62160.0
DE00;National Trends;2030;Capacity (MW);Coal & Lignite;17042.0
DE00;National Trends;2030;Capacity (MW);Gas;25898.0
DE00;National Trends;2030;Capacity (MW);Hydro;15055.0
DE00;National Trends;2030;Capacity (MW);Oil;851.0
DE00;National Trends;2030;Capacity (MW);Other Non RES;9871.0
DE00;National Trends;2030;Capacity (MW);Other RES;7570.0
DE00;National Trends;2030;Capacity (MW);Solar;96140.0
DE00;National Trends;2030;Capacity (MW);Wind Offshore;23296.0
DE00;National Trends;2030;Capacity (MW);Wind Onshore;75372.0
DE00;National Trends;2040;Capacity (MW);Gas;28337.0
DE00;National Trends;2040;Capacity (MW);Hydro;15325.0
DE00;National Trends;2040;Capacity (MW);Oil;637.0
DE00;National Trends;2040;Capacity (MW);Other Non RES;11108.0
DE00;National Trends;2040;Capacity (MW);Other RES;8657.0
DE00;National Trends;2040;Capacity (MW);Solar;125786.0
DE00;National Trends;2040;Capacity (MW);Wind Offshore;39683.0
DE00;National Trends;2040;Capacity (MW);Wind Onshore;88800.0
DE00;Distributed Energy;2030;Capacity (MW);Solar;11470.0
